Length,Count
7,4.563e-05
8,0.00015568833333333337
9,0.0004286308333333334
10,0.0038424662499999995
11,0.043900061250000434
12,0.07736806249999942
13,0.14651089499999384
14,0.2253169433333195
15,0.225805892083324
16,0.15465572124999638
17,0.05478000333333395
18,0.04830140750000005
19,0.010271520416666655
20,0.0053418137500000065
21,0.0019391741666666665
22,0.0004749000000000001
23,0.00014803833333333342
24,0.00011257624999999999
25,3.3803750000000006e-05
26,3.901666666666667e-06
27,3.2487499999999996e-06
28,2.6e-07
29,5.75e-08
30,1.2924583333333333e-05
31,1.0591666666666665e-06
32,4.479166666666667e-07
33,6.358333333333333e-07
